Month_Day,2018,2019,2020,2021,2022,2023,2024
09-05,283414,255446,972796,102292,2267886,1711796.9,104761.0
09-06,1353565,995967,1954325,2300934,70083,4048871.2,247796.31
09-07,840629,1857767,2006033,2031956,1694375,3575560.5,218828.67
09-08,108200,995967,985410,1001102,1198180,1761604.8,107809.39
09-09,400244,1233784,286188,925660,1198180,2171047.0,132868.0
09-10,1917313,90000,985410,926953,678486,3373827.8,206482.5
09-11,1617895,995967,77024,2768970,535008,4872456.5,298201.7
09-12,654462,997333,1435168,367064,1145079,2525415.0,154556.25
09-13,15000,995967,2126695,1262482,556929,3742269.8,229031.89
09-14,1007291,1334077,324009,1850005,1198180,3255389.0,199232.98
09-15,572486,701882,2621862,1389161,1198180,4613596.0,282358.3
09-16,505107,924059,985410,414255,1198180,1733992.9,106119.41
09-17,1545056,513579,985410,1001102,1697516,2718782.0,166391.55
09-18,1697822,129518,441025,1001102,1198180,2987597.5,182843.14
09-19,563507,908119,985410,825057,1759496,1733992.9,106119.41
09-20,1030556,384294,985410,1243506,1562431,2188155.0,133915.38
09-21,477958,979495,1321452,2961713,938942,5211620.5,318958.53
09-22,316352,709874,2122983,621987,1198180,3735737.0,228631.47
09-23,1030556,853624,414340,1001102,1198180,1813434.2,110981.37
09-24,870680,1282206,92743,347056,1502601,2256253.0,138083.03
09-25,3198049,61920,1417076,611149,496917,5627492.0,344411.2
09-26,1030556,995967,985410,1853309,1198180,3261202.2,199588.36
09-27,1030556,1877253,145319,1001102,2449697,3303334.0,202167.6
09-28,936500,111977,345467,1336377,1198180,2351576.8,143917.2
09-29,2420666,690574,1895615,2205453,1372961,4259560.5,260691.27
09-30,38000,1077076,25002,1001102,1198180,1895293.2,115991.42
10-01,1378525,995967,462707,1001102,2576140,2425742.0,148456.28
10-02,1030556,995967,618867,2051000,1177883,3609072.2,220879.05
10-03,448986,32531,2932800,396127,1198180,5160743.5,315845.7
10-04,2719554,500886,397539,1001102,1347521,4785502.0,292879.4
10-05,1030556,1727793,266169,1001102,887222,3040335.0,186070.84
10-06,1030556,534194,219160,140492,1198180,1813434.2,110981.37
10-07,1799338,336087,985410,1113275,253239,3166231.5,193776.39
10-08,92929,577380,496805,2554997,399892,4495938.0,275157.72
10-09,754418,995967,985410,1001102,1301113,1761604.8,107809.39
10-10,406531,995967,1655854,1001102,1040320,2913748.0,178323.98
10-11,1030556,995967,502113,1901362,3164532,3345760.0,204763.06
10-12,1545985,1263175,390885,187610,1198180,2720416.5,166491.33
10-13,1030556,900885,638239,190401,1198180,1813434.2,110981.37
10-14,959612,2801771,1334916,1294739,1198180,4930175.0,301733.5
10-15,1030556,995967,30000,1001102,1198180,1813434.2,110981.37
10-16,2902543,995967,1465541,117895,1720179,5107500.5,312587.16
10-17,1030556,995967,985410,1685168,789497,2965331.8,181480.14
10-18,372810,1764841,89608,964895,1352002,3105529.2,190060.66
10-19,467978,995967,1856334,1270703,1968600,3266526.0,199914.72
10-20,1030556,337365,985410,1001102,1198180,1813434.2,110981.37
10-21,727386,1232607,1384924,1520478,472053,2675532.5,163743.75
10-22,1231810,1442428,985410,109161,323999,2538190.2,155338.53
10-23,1882107,154999,81766,702053,692504,3311876.2,202690.48
10-24,1030556,995967,985410,1206527,2678247,2123084.0,129932.75
10-25,1030556,1220440,985410,1001102,1764542,2147566.5,131431.28
10-26,630233,24000,2728328,1607445,1198180,4800942.0,293824.97
10-27,1489303,984841,1390039,1432875,1198180,2620674.0,160386.39
10-28,1030556,1331615,985410,28320,49881,2343197.0,143404.1
10-29,2345779,1242249,40033,1001102,1048859,4127784.5,252626.42
10-30,1590006,69450,985410,496914,2158821,2797878.0,171232.1
10-31,1030556,995967,167759,2622446,1198180,4614623.5,282422.06
11-01,1030556,1317508,985410,1163870,2776196,2318373.2,141885.0
11-02,1030556,911443,1779630,555545,1068819,3131552.5,191653.83
11-03,597719,1549416,110237,1001102,1198180,2726454.0,166860.0
11-04,1030556,995967,985410,1001102,549580,1813434.2,110981.37
11-05,685638,995967,856184,2894443,515414,5093246.0,311713.88
11-06,1084752,1895321,289131,749747,749205,3335129.2,204113.2
11-07,476374,249075,301669,1140349,1198180,2006632.5,122805.82
11-08,53000,24000,1826925,215714,1877499,3214775.5,196746.8
11-09,1823828,313454,985410,548946,631011,3209325.2,196413.34
11-10,776127,798181,985410,738000,735571,1733992.9,106119.41
11-11,669810,1769135,1303282,1001102,127226,3113084.5,190523.44
11-12,45000,65554,345699,999768,263172,1759257.5,107665.664
11-13,1030556,1443565,1195712,392751,1321624,2540190.5,155460.88
11-14,1030556,31000,136145,400150,186143,1813434.2,110981.37
11-15,76884,1911086,1246453,1599285,3334970,3362870.5,205811.25
11-16,1488036,249889,1338890,1885526,1722214,3317893.0,203058.45
11-17,788942,709253,178053,494876,1198180,1388275.2,84960.555
11-18,1030556,1860922,985410,1001102,55000,3274598.5,200408.2
11-19,1894887,1084605,353904,36316,766455,3334365.5,204066.39
11-20,979633,196508,985410,1001102,977132,1761604.8,107809.39
11-21,409356,995967,223948,2423678,1451698,4264859.0,261015.64
11-22,1030556,926905,1492144,1415482,63754,2625674.0,160692.53
11-23,982438,995967,740304,1507256,2415260,2652265.8,162320.16
11-24,673080,1367013,985410,1616300,1198180,2844146.2,174064.05
11-25,1030556,761752,410993,1001102,57765,1813434.2,110981.37
11-26,1412139,1072610,1403657,1001102,216931,2484892.0,152076.62
11-27,1894303,402778,985410,1001102,541469,3333337.5,204003.92
11-28,1030556,119302,19200,414573,929854,1813434.2,110981.37
11-29,232468,1375245,1182522,1791887,3127228,3153121.0,192973.77
11-30,2113886,15000,1645897,2049082,1025531,3719730.0,227651.55
12-01,1843619,995967,139500,1001102,55305,3244150.5,198545.22
12-02,809940,9000,1553751,110608,643685,2734081.5,167327.34
12-03,694473,2017247,382568,2581756,414578,4543024.0,278038.66
12-04,467960,1795842,985410,1530076,1140472,3160079.5,193399.56
12-05,1182186,409224,1842527,77185,1573210,3242231.0,198426.8
12-06,1551718,186283,985410,193758,2006936,2730503.0,167108.97
12-07,1030556,588744,1147598,1001102,1092071,2019388.6,123586.234
12-08,2085781,899322,257842,451476,1198180,3670275.5,224624.6
12-09,16914,728628,39000,1001102,109718,1761604.8,107809.39
12-10,2070899,995967,406871,4125467,658817,7259435.5,444291.28
12-11,1940027,882100,859360,142092,917003,3413797.5,208927.62
12-12,227062,109222,1728747,1942264,299712,3417732.8,209168.27
12-13,1577389,976204,985410,542694,1198180,2775676.0,169872.83
12-14,1658727,995967,232187,3466336,383748,6099586.5,373304.6
12-15,1030556,170426,244856,887390,3488779,1813434.2,110981.37
12-16,1030556,3601666,967871,1001102,54200,6337723.5,387880.12
12-17,1530251,995967,751870,1001102,1157229,2692729.2,164796.73
12-18,1765062,285767,985410,1001102,410130,3105917.0,190084.28
12-19,174369,995967,2185577,617646,1363541,3845882.2,235373.03
12-20,1030556,666645,179996,149415,1198180,1813434.2,110981.37
12-21,1241728,511703,391474,1957493,2467849,3444531.2,210808.53
12-22,594721,995967,248608,1574834,1198180,2771179.8,169598.14
12-23,1030556,1871252,1462512,1001102,82256,3292775.5,201520.61
12-24,3122642,117747,606878,1224472,1198180,5494801.5,336290.7
12-25,103044,253650,959254,1004549,1086993,1767669.8,108180.7
12-26,1030556,2004698,1433966,1001102,1408096,3527596.0,215892.66
12-27,125924,643626,985410,2648166,1669346,4659883.0,285192.0
12-28,2477337,995967,3430383,1001102,1113987,6036321.5,369433.3
12-29,1030556,392141,985410,966369,278274,1813434.2,110981.37
12-30,1030556,1054901,134188,178873,416466,1856274.0,113603.375
12-31,903441,1088381,985410,1001102,1218553,1915187.0,117208.89
