2015,2016,2017,2018,2019,2020,2021,2022,2023
5618,5698,2084,1676,1046,0,0,200,0
4869,11745,8118,3200,0,0,0,0,0
1362951,1440981,1693404,1331492,1435757,1467381,1663826,1537188,1815017
44538,7416,576,0,5096,0,0,0,0
649689,511180,777811,795113,1079221,537258,416524,865475,1156318
1912818,1509293,2075214,2523085,1897481,1779017,1269460,1267645,802583
36932,17415,29045,29487,21503,15768,38775,9416,10689
6125,0,0,0,0,0,0,0,0
2808,3167,1348,3043,1140,0,3167,2732,2388
549764,152480,0,0,0,0,0,0,0
1382,7908,32563,7371,14696,42560,19525,244453,274787
180,0,0,0,0,0,0,0,0
14065,0,7223,49650,0,0,9800,0,0
3781,4691,3270,3427,4137,12978,0,37458,28041
62500,20334,11495,0,0,0,0,0,0
5292,0,3181,0,0,0,850,987,0
378,0,0,0,0,0,0,0,0
5500,5000,27950,7000,5500,0,0,0,0
830924,1020091,773433,625616,330490,157269,304300,566700,362700
69000,32590,109437,0,56500,70000,390500,239050,114200
6308500,6123040,7013052,9421110,4616990,2889470,3339626,2137854,3617350
405526,401190,281882,18030,0,0,0,0,0
16660,38790,0,11621,0,0,0,0,0
126183,128524,200949,40154,66184,27166,252552,207735,122719
13068,4853,4328,3842,215,500,1406,6399,4842
63308,56866,7702,16212,62461,87984,52318,96517,83799
525,334,0,0,0,0,0,0,0
554490,93270,21934,0,0,0,0,0,0
12649,6604,15846,3420,46947,66770,43416,0,0
2887719,1544696,169110,0,0,0,0,481500,159500
30805,16206,1712,13400,0,0,0,0,0
147911,217221,223286,411215,603350,563298,692253,1006174,998514
1666383,1470853,1945485,817412,323516,528840,719802,1166960,515403
482861,108856,249186,58512,1547448,421194,372377,46206,277862
143145,139662,252599,141279,142608,46431,27230,88508,0
94735,69711,96998,161021,189558,210798,191656,206275,214178
58355,562660,426106,680418,1369894,1240810,1283669,0,22808
419,8298,2278,0,0,0,0,0,0
34655,2050,51549,18,315,367,47112,48237,2850
1823229,1616034,1505947,1353415,1006784,1035027,1139326,1202181,1163916
106525,217707,0,153315,0,91894,0,11999,35788
1297900,756130,755132,725430,807460,745050,753000,1064810,1006380
3614314,711628,2410418,1318506,5167754,3550433,10753048,10039537,9838273
41500,47472,0,12224,15031,62795,197411,219496,316618
25207,41060,90002,96856,110722,97808,73835,108020,152382
11391,0,3099,0,5053,23222,29943,23104,37235
33430,122287,93955,132669,323700,466774,195372,183061,85578
46090,25000,18000,36000,54000,0,12058,0,0
228,0,7585,0,0,0,0,0,1427
122606,125007,77995,184248,214659,94995,139431,152918,106880
42557,35394,6097,2570,0,0,0,0,0
16100,18300,90000,90000,22010,75000,26125,0,17500
24320,44800,0,0,0,0,0,0,0
140718,154254,110080,257481,150239,71067,168270,67006,24094
8635429,9888431,9083661,9597018,6839727,6335090,4600863,883185,888760
564102,180933,0,69465,12900,0,0,0,0
1202044,1494627,1932615,2270700,2591220,1342383,1456850,2346804,1784218
957,50985,35669,727,10400,1182,26740,35453,31600
180,250,0,0,0,0,0,0,0
1467,4887,339,7659,0,7584,54423,134862,104894
7854,0,0,0,0,0,0,0,0
31182,83798,198169,575470,126025,157191,131846,31582,34454
6683,0,0,0,0,0,0,0,0
176760,138231,164685,53100,0,0,47000,0,0
9000,8000,0,0,0,0,0,0,0
2077328,1693719,1046101,0,0,0,0,0,0
214600,116919,189821,106874,162000,263626,165000,123885,0
91500,0,0,0,0,0,3512,0,0
115926,115244,118094,105435,45193,52531,54008,62990,20106
2704046,3363651,2995149,2383377,2781048,2310279,3388887,2560743,2956370
528,0,0,0,0,0,0,0,0
13993,13031,5641,0,0,9682,11546,5076,4550
1347,6624,6700,0,0,9100,8879,0,40
77705,0,0,0,0,0,0,0,0
378399,294032,141736,67000,105148,0,0,0,0
13520,800,0,250,6560,800,2835,2168,12201
70107,105651,25850,30030,57949,18536,38784,37084,26400
771,0,0,51544,37271,37548,80766,74978,73173
20320,11762,48117,12697,3318,8796,8097,76423,155545
2567669,2264190,2337803,2349653,2534903,1987961,2005218,1681742,1811474
10413,110622,47270,0,0,0,8750,0,0
35853,0,9941,0,59847,0,8777,30605,10721
55600,0,0,0,0,1656,0,0,0
19000,0,0,0,0,0,0,0,0
56977,158080,103564,104891,221205,149168,193454,296909,228885
5428,6874,1335,2977,0,0,0,2078,0
33110,31934,17348,14690,13976,22987,0,0,0
27511,27423,26585,20246,54803,164584,38740,0,95
26000,0,0,0,0,0,5375,0,2649
9174,1068,5955,5605,5231,0,1385,0,0
1215732,954829,684578,1238760,1630071,1042113,1758820,1509776,1149296
10116,39495,129692,28240,73865,114630,56933,42172,203844
65837,66154,178771,223551,287862,259480,350621,299515,153132
80611,70680,60460,64450,75895,48361,82390,70385,79722
4373,499,0,0,0,0,0,0,563
44100,0,38000,6000,41480,41550,32590,0,0
4826055,4118452,4466996,5303235,4398811,4264842,4961695,3123138,3063591
200000,64000,86250,73160,0,29920,129215,146541,115394
2000,0,0,0,0,0,0,0,0
7547,9075,6750,5102,9823,0,0,7591,5948
627655,632635,392616,507897,306565,257160,180734,203756,222465
1596980,2807800,2747992,4154057,2578227,2621102,2615108,2328060,2061400
73608,0,0,0,0,0,0,0,0
75000,0,0,0,0,0,0,0,0
28000,0,0,0,0,0,0,0,0
229380,368772,165876,28874,32250,0,0,0,0
5664,0,0,0,0,0,0,0,0
226044,922870,865017,795278,977976,1665167,1847586,1725224,1034388
441,95,0,0,0,0,0,0,0
121835,61021,79246,56639,6917,0,0,0,0
469,0,409,0,0,0,0,0,0
120,150,440,100,565,0,307,0,0
43403,0,15990,4234,0,46,465,0,0
16441,17141,4100,984,610,0,0,0,0
219510,36356,7700,19289,0,0,0,0,0
819241,696752,881100,963046,745793,359955,603598,628755,689430
790,4770,3320,1205,11200,0,6718,1140,32292
1299307,1376674,1730666,1566690,1365028,1319647,984464,974672,1164061
78432,85139,67709,144764,388896,269929,288100,138502,109858
2926,3196,3225,0,723,1387,0,126,1392
41307,8382,0,0,0,0,0,0,91745
366000,2131698,2208189,2501141,2982175,2086153,852645,0,0
1010,0,0,0,0,0,0,0,0
1159,1082,1758,0,0,0,0,0,0
4200917,4479461,4863723,4750427,5183795,7112575,5603533,6150552,6254142
4486,10745,0,6549,980,13518,2220,9260,3440
25000,0,0,0,0,0,0,0,0
99447,171081,305662,0,0,0,0,0,2106582
37211,17165,13501,25450,18941,23252,30766,30513,22457
