Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026
06-17,1030556,262391,37940,1062607,371839,387405.0367014488,397735.83422659896,398654.1296565861,399559.9660446927
06-18,376422,2339132,2215330,1309072,277098,354633.1533023075,359717.3829386515,360184.88441295736,360654.759743994
06-19,2258137,86988,985410,1001102,1198180,1037653.939283606,1061257.4465994674,1065381.0613263175,1064674.1849886486
06-20,206230,1123371,985410,1330509,2908700,2722416.9490082148,2716147.026941291,2715656.1069306456,2716068.23698383
06-21,1030556,525424,106262,1461574,475899,677367.1392888656,669569.4838979135,668452.4635812425,667360.5728337567
06-22,1587242,995967,1144069,1103883,583735,565538.9555418317,584204.5294743008,585992.2400774467,587391.0035128264
06-23,138000,995967,2170126,1367994,2111541,1975698.030943672,1987929.7384080407,1987681.491351532,1987681.5334376362
06-24,672380,1915380,625379,156025,1946630,1861561.3477698013,1857902.689201482,1856122.8009696845,1854828.6182459123
06-25,580927,2079863,985410,390298,1198180,1054905.1926883212,1080303.114223534,1080568.8025604018,1080789.2220526424
06-26,1522914,254017,985410,1001102,2068514,1740448.6570410265,1789422.0860318406,1794194.045546882,1795131.843999263
06-27,354151,668400,338816,794999,1198180,1031271.597646276,1063215.718380851,1063388.608927901,1062024.7100304235
06-28,729882,2358632,985410,1001102,1198180,1293258.8481451022,1271789.11035771,1270083.070401557,1269680.800631673
06-29,1030556,995967,1601478,1308869,1118273,1201186.1998809548,1160970.5734069382,1164869.15500509,1165892.0729145915
06-30,491886,185672,1084148,1994199,545951,686523.3009140968,675829.6105747686,673954.8578068791,674339.3176516122
07-01,1030556,266878,1481618,341190,1986833,1825310.646784408,1833642.472396856,1834107.3947456328,1832986.013679793
07-02,343929,995967,1063588,1519759,2386754,2046249.704025695,2058586.8384161647,2060185.170212685,2060695.9155819635
07-03,721862,995967,985410,753561,287116,526447.3328506608,544744.8493095657,543606.6163896708,543942.3577396506
07-04,635614,162940,223800,120809,1198180,1289453.9388752591,1284800.5408022637,1284197.7826212822,1283676.5852385114
07-05,1849462,1216573,985410,1001102,1572461,1408691.4983767285,1405750.8607818345,1406650.214644048,1407169.433329418
07-06,410929,1877885,470811,1001102,348147,469873.2048711538,476007.6673848755,473437.2030008121,472805.4085185905
07-07,1030556,517177,772192,644112,1198180,1125165.26400722,1148819.8065863946,1148141.3223372386,1148034.1580060306
07-08,2271569,2634044,1191553,2014225,1198180,1212940.517131267,1206476.3221531033,1205815.423996474,1205507.0923275766
07-09,1466534,995967,2505064,2875213,205556,250369.4703025025,245235.573980766,246592.31940099585,247521.80591670726
07-10,853516,1753099,1199043,1001102,2504648,2136855.644688872,2142536.310868123,2143106.97897273,2142869.9286503606
07-11,265174,995967,241137,312693,7169,279173.2742927585,272121.9272708914,270759.05260122893,270061.40008596436
07-12,2101044,995967,985410,1001102,3012812,2547101.78318028,2553059.413330221,2554876.0170983514,2555090.3756103795
07-13,1030556,995967,975980,795646,441931,646307.4176120904,674751.0313649165,669644.5426368349,667328.3439296996
07-14,890793,995967,1963444,1877828,1198180,1359705.599534358,1334949.2182884144,1331794.7494279896,1330648.8943112115
07-15,1384564,1245311,31752,1107547,26000,119383.9033025778,112322.5837814589,112852.8461505177,112660.67852713983
07-16,271203,1461359,705290,1001102,1198180,1323814.9710221223,1300896.0994114506,1302454.6403217658,1303819.5236776194
07-17,2128496,557998,985410,737021,1023180,1078146.9106306343,1071402.6507990514,1070240.219020759,1071001.1480571625
07-18,1030556,1149233,985410,106877,1322027,1134680.0555095796,1162334.0789005207,1161688.438134727,1161299.1850991037
07-19,1030556,1996587,985410,606083,579959,709040.6299063622,707187.7157704907,709133.7254471787,710287.4453193783
07-20,2087643,110000,415950,2777052,1556266,1508113.8305790157,1499927.6683339663,1500198.612098203,1499821.7002321365
07-21,300786,948107,2623328,19200,1344181,1397661.3178814936,1393156.0155783591,1391864.5065699322,1391247.9218984835
07-22,1030556,390052,3059067,91510,48260,133714.54125425522,139364.18184414948,140206.6000340802,140536.1901431433
07-23,794480,14000,116627,1358221,1479618,1411901.3821565327,1407631.8424573778,1408505.0664902278,1408055.9803228276
07-24,1065470,474624,985410,91875,1198180,1290746.3838019876,1262015.7067425714,1263794.6556486636,1264710.204309893
07-25,1427245,2541134,1378481,1224813,1720431,1674602.1119537456,1670993.5649195688,1673402.7202760968,1674710.6929109823
07-26,1030556,995967,985410,161947,1044105,893920.855128782,948811.9797310692,947518.2132643362,946942.1549231047
07-27,15000,552862,195342,1007219,1071306,922661.6685683368,931525.0961028415,933343.913628396,934199.1995382415
07-28,1030556,740463,1247923,302473,1198180,1314802.8172106538,1299139.5526763462,1294625.5748219206,1294167.1152140158
07-29,1595899,148413,145581,2405621,116000,199134.2927725535,193707.6755833456,194517.9601503909,194786.69455617515
07-30,181298,1516868,403387,1001102,1509348,1412665.6730810655,1425661.88847406,1428827.7759793836,1429570.6772029586
07-31,1842774,1790659,786211,72050,46424,2933.4512687881943,2400.2946316914167,2898.2436880671885,3440.883854982676
08-01,1504137,1939840,132474,613200,1292425,1324179.363217566,1328307.1151653733,1329709.6746012885,1330393.4912059212
08-02,494192,248142,985410,153552,2701790,2401467.3917079,2413814.879210149,2415557.3506850493,2414802.6475659907
08-03,1030556,1688033,985410,1053242,518301,642352.1025360019,681262.4078870945,676718.6344994234,676355.4081445088
08-04,1030556,350293,452949,31752,1198180,1163429.0086932946,1164036.2840439058,1165249.1416857615,1165107.6067219868
08-05,1512319,1592203,985410,87319,73927,245279.790373978,239203.8915232391,238927.35401153017,239044.6162065158
08-06,50991,995967,1715022,1258893,1304588,1370461.3988562808,1365176.1377523025,1364559.8452659592,1363849.4792967036
08-07,1141053,1744126,1327088,1001102,794796,858352.8360976619,855794.3900928069,857682.6339725053,857080.1908422501
08-08,249906,995967,1805132,694112,1982668,1828368.7140355683,1840152.566584271,1840747.240840491,1840327.643319034
08-09,203621,646170,736976,1001102,1262948,1168189.0478820354,1185768.773409969,1186527.0215650324,1186991.4975633305
08-10,183259,2136348,1312861,83000,1198180,1132575.9346472784,1143129.7132867377,1142081.4463105467,1141406.9630408192
08-11,1030556,1360447,2079704,154181,1589140,1669903.1912276233,1652068.711065333,1651704.9106788551,1651900.2392052982
08-12,1030556,918005,149043,1001102,130337,460282.3043216313,472252.2731965283,467969.7544651588,465306.75593209744
08-13,250651,995967,1686456,1001102,1198180,1154385.4257658937,1167035.8961602638,1164129.087954417,1164488.8016649182
08-14,2809531,1562233,985410,374371,1397685,1467262.9478929015,1455237.2606713567,1453924.227145315,1454265.6309559147
08-15,182762,995967,81425,2250345,109140,175904.3474647306,181009.55179500533,180819.25376757828,180521.2491423043
08-16,1030556,2008845,1563185,254785,1000240,1266546.720426241,1239238.604864163,1237747.4542927209,1236460.6438197065
08-17,1490020,995967,985410,542978,2591653,2117546.284027396,2124883.4611350005,2126136.801899732,2124707.4842885733
08-18,1030556,167724,309225,1232847,1198180,1422181.1094686105,1385466.1088340117,1384255.7920125308,1383356.9040741108
08-19,545365,738924,985410,1767985,535954,669390.2950400615,663874.9363818304,664639.802657364,663606.4386527478
08-20,229054,2152931,985410,263587,245116,476095.7582877663,453728.72442080895,454678.3291713376,456073.7551234185
08-21,144986,109699,2005251,1421332,1198180,1214298.6970928877,1215498.2980662226,1216881.544646687,1216493.612196218
08-22,105200,870185,1423800,922886,2347883,2140658.5995258964,2133283.454283974,2132378.265992426,2131668.6625847192
08-23,11532,2581136,445413,1001102,934059,986531.7884909484,982239.4700238043,981371.6003877196,980958.2044084595
08-24,1030556,995967,693932,323155,1767938,1489176.1304182124,1498398.6064374633,1499578.0552849271,1499102.8139645287
08-25,836328,266229,985410,799402,692267,967733.2674964163,956870.0178212558,952136.1446652156,949816.0849731425
08-26,78000,90277,789389,323623,1198180,1176479.677575744,1189145.771695291,1187691.2581391796,1187337.8098526124
08-27,983630,995967,46182,1001102,221047,370388.1036236292,384286.79368477233,385610.0845008276,385978.9896627418
08-28,787922,2088198,1517943,184925,1639211,1523181.6072781784,1519450.6673603998,1520463.2269496252,1520962.3494306733
08-29,113473,1371241,985410,1687704,1198180,1418831.1396106477,1392506.0708479774,1393357.133855043,1394154.9652821063
08-30,1030556,1721775,274471,1001102,4243153,3431438.6182443625,3438025.6073311167,3438216.060085716,3437960.012216139
08-31,1581838,813114,2050034,1280352,1198180,1161459.4820956578,1153639.727164921,1154079.2293889706,1154731.4905039128
09-01,835290,995967,985410,1001102,1198180,1088777.1786011031,1137028.080601307,1130272.617801895,1128338.9313272433
09-02,1452479,995967,985410,1001102,1198180,1317850.885785933,1265167.5069407444,1269920.9993405566,1271635.3498816502
09-03,1127602,158098,708148,1222897,1982907,1884905.394937,1880699.4727321544,1881727.26616354,1882151.4698896795
09-04,277265,2602408,985410,801358,1132502,1076425.0752746323,1089999.7596985511,1090713.4281808217,1090129.628715711
09-05,283414,255446,972796,102292,2267886,2178556.72751798,2162209.130874645,2159910.548103954,2159386.708596575
09-06,1353565,995967,1954325,2300934,70083,218415.2872217925,227649.3630237979,226285.7647313153,225122.65391541691
