Month_Day,2018,2019,2020,2021,2022,2023,2024
12-19,174369,995967,2185577,617646,1363541,1345902.9,1345720.8
12-20,1030556,666645,179996,149415,1198180,1189832.0,1188822.9
12-21,1241728,511703,391474,1957493,2467849,2453361.8,2452558.5
12-22,594721,995967,248608,1574834,1198180,1213325.9,1212914.2
12-23,1030556,1871252,1462512,1001102,82256,118891.19,121648.555
12-24,3122642,117747,606878,1224472,1198180,1194332.4,1194645.8
12-25,103044,253650,959254,1004549,1086993,1084111.0,1082663.2
12-26,1030556,2004698,1433966,1001102,1408096,1345148.0,1345746.4
12-27,125924,643626,985410,2648166,1669346,1664739.8,1664721.1
12-28,2477337,995967,3430383,1001102,1113987,1114991.8,1114165.2
12-29,1030556,392141,985410,966369,278274,420851.7,416412.16
12-30,1030556,1054901,134188,178873,416466,429874.62,429861.16
12-31,903441,1088381,985410,1001102,1218553,1214974.6,1209379.1
