Exporter,Product,QTY.(KGS)
ARACKATHARA RECLAIMATIONS,TYRE RETREADING MATERIALS,2183923
ARADHANA KNIT FASHION,COTTON GARMENTS,4384
ARAFATH HOSIERY GARMENTS,COTTON GOODS,47236
ARAKU ORIGINALS LTD.,SPICES,6526
ARAM AYURVEDA,AYURVEDIC MEDICINES,115
ARAMBANS EXPORTS,LATEX GLOVES,7267
ARANYA AYURVEDA VAIDYA,AYURVEDIC MEDICINES,7807
ARANYA PRODUCTS,SOAP,13038
ARASCO FRUIT PRODUCTS,FOOD STUFFS,52000
ARAV CREATIONS,COTTON GOODS,102924
ARAVIND BRANDS LTD.,COTTON GARMENTS,2507
ARAVIND INDUSTRIES,COTTON GARMENTS,541
ARAYACHERRIL VARKEY & SONS P LTD,SPICES,10085
ARBEE AQUATIC PROTEINS P.LTD.,FISH MEAL,2916482
ARBEE BIOMARINE EXTRACTS P.LTD.,FISH OIL,72813
ARIANE TOOLS & COMPONENTS,TOOLS,300489
ARICIA INDIA INTERNATIONAL P.LTD.,RUBBER MATS,19565
ARIHANT APPARELS,COTTON GARMENTS,1333
ARIHANT ENTERPRISES,PLYWOOD,2027039
ARIHANT EXPORTS,COTTON GOODS,12738
ARIKKAT TRADES & EXPORTS,COCONUT OIL,71047
ARISHINA LIFE SCIENCES,SPICES,22103
ARISTO OVERSEAS,COTTON GOODS,2869
ARJUNA NATURAL P. LTD.,TURMERIC,300318
ARMSTRONG KNITTING MILLS (P) LTD.,COTTON GOODS,1211288
ARMSTRONG PROCESS,COTTON GOODS,87202
AROMATIC  INGREDIENTS P.LTD.,SPICES,110336
AROMEN ENGINEERING CO.P.LTD.,MACHINERIES,1989
ARON ENGINEERING,SPARES,2536
AROPARK CREATIONS,COTTON GOODS,59165
ARPUTHAM EXPORTS,FOOD STUFFS,21472
ARQ INTERNATIONAL,FOOD STUFFS,20000
ARROW EXPORTERS,COTTON GARMENTS,410
ARROW TEX,COTTON GARMENTS,14125
ARTIS INDUSTRIAL P.LTD.,MACHINERIES,10423
ARTISE INTERIORS & EXTERIORS,ELECTRICAL ITEMS,13250
ARTOCARPUS FOODS P.LTD.,JACK FRUIT RIPEN PIECES IN SUGAR,18782
ARUL JOTHI EXPORTS,COCONUTS,56350
ARULSIVA EXPORTERS,COIR PITH,1620760
ARUN,PERSONAL EFFECTS,160
ARUN GARMENTS,COTTON GARMENTS,1486
ARUN REGA BAKERY  MACHINERIES P.LTD.,MACHINERIES,1970
ARUNA ALLOY STEELS P. LTD.,VALVES,28077
