Month_Day,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027
04-13,1339065,995967,1278310,814508,1198180,1261527.7436601913,1261527.7436601913,1261211.3543080096,1252722.6278593868,1244089.901334769
04-14,1030556,995967,384607,1001102,1519452,1214628.1315572928,1214628.1315572928,1214542.3355125992,1204996.9047263917,1198571.1534319192
04-15,231700,254730,985410,687977,1198180,1329772.366720823,1329772.366720823,1322633.0473489554,1317686.3109720305,1311737.0194961561
04-16,1426416,2638605,1258045,257374,2634165,2436379.2872021818,2436379.2872021818,2359078.275209269,2293277.6911709425,2258350.600269227
04-17,827492,100604,985410,19160,283743,708154.7716935191,708154.7716935191,705724.11001108,705531.7926486556,701444.5918480856
04-18,204610,995967,1351086,577931,163541,610444.7016017451,610444.7016017451,605054.5807905853,600679.5983248153,603326.1030115641
04-19,37276,1167496,985410,1001102,3491295,2079983.787287204,2079983.787287204,2132219.242480287,2201676.4809191613,2257725.7754458785
04-20,1849481,616066,1006134,1139429,1401885,1201927.193197364,1201927.193197364,1193519.2004197338,1186595.666970001,1181915.3213325988
04-21,1030556,66000,328831,2110869,1050181,1153266.3151557022,1153266.3151557022,1129800.3086725476,1128927.469993515,1121344.6729066889
04-22,683531,405199,44367,550225,1198180,1147265.2950405437,1147265.2950405437,1132535.3654729924,1124210.833545226,1122441.3619712517
04-23,1677626,1434860,985410,681433,221970,300170.6060526681,300170.6060526681,312578.1700062296,326195.9294587107,337891.0030566474
04-24,879540,690751,985410,282935,1267286,1210307.0201318709,1210307.0201318709,1202566.1078856557,1197416.3018035612,1190076.8716864483
04-25,18000,445393,985410,1001102,1198180,1266275.0695355788,1266275.0695355788,1255160.1476178602,1250187.2572669105,1243039.5490257407
04-26,1030556,1034416,3791522,1303232,539478,1047163.1230027314,1047163.1230027314,1046719.764574717,1042396.5858425152,1033519.3682384824
04-27,425729,995967,807485,1219717,477336,912647.5079833618,912647.5079833618,907507.454530039,898154.5013770352,891136.2040789906
04-28,353346,995967,985410,292517,843429,991706.5670281324,991706.5670281324,987573.2041810082,977248.5134228398,971321.3268933631
04-29,1492435,1970252,2068891,1001102,1527271,1511048.489269814,1511048.489269814,1516009.9414483455,1517054.179375178,1511875.7864012148
04-30,1794152,2101064,985410,1238210,1037837,1158598.8400552336,1158598.8400552336,1141657.3537878846,1136094.277824833,1132678.2622855941
05-01,986364,995967,985410,1001102,66795,913905.5507433364,913905.5507433364,903976.9551414244,899658.583777311,892779.3242798166
05-02,1030556,1015588,2110999,1001102,2361155,1403332.7146526368,1403332.7146526368,1408664.6864774886,1406764.7362559966,1403163.549394223
05-03,893405,1277713,1300098,1001102,2183113,1794371.3383142112,1794371.3383142112,1782359.4949061072,1772764.5278864258,1764271.0018934896
05-04,1030556,2828337,985410,228621,1811580,1308926.4929809074,1308926.4929809074,1314002.6889613443,1309294.9175320822,1306068.7097829455
05-05,101725,391165,2064058,1001102,608008,997516.744924991,997516.744924991,988202.8721698348,986516.7966316332,983203.5302556487
05-06,1165063,1031023,2700232,1250466,762558,937894.660019821,937894.660019821,932645.6478882307,929723.9792374662,923923.9910028183
05-07,1030556,533203,102836,332753,1198180,1222662.9625586302,1222662.9625586302,1224616.1627279134,1216774.5986065988,1207072.3023313177
05-08,446726,1389275,1504014,15876,250165,495655.44342140696,495655.44342140696,457457.2544890093,443325.7573792776,427336.128983813
05-09,1226065,2524884,236003,2124476,1198180,1283142.1251751245,1283142.1251751245,1278310.0897431115,1266143.8820452965,1261013.3716395444
05-10,556401,995967,139570,2700007,2708486,2238241.320891708,2238241.320891708,2442716.866981316,2466585.019154018,2429430.30828446
