Month_Day,2018,2019,2020,2021,2022,2023,2024
10-15,1030556,995967,30000,1001102,1198180,1080937.6856519382,1080937.6856519382
10-16,2902543,995967,1465541,117895,1720179,1283421.510230173,1283421.510230173
10-17,1030556,995967,985410,1685168,789497,957297.711600973,957297.711600973
10-18,372810,1764841,89608,964895,1352002,1276812.713755811,1276812.713755811
10-19,467978,995967,1856334,1270703,1968600,1455843.4860691098,1455843.4860691098
10-20,1030556,337365,985410,1001102,1198180,1132229.0949369315,1132229.0949369317
10-21,727386,1232607,1384924,1520478,472053,716679.0514064159,716679.0514064159
10-22,1231810,1442428,985410,109161,323999,381670.7669150518,381670.7669150518
10-23,1882107,154999,81766,702053,692504,752118.3352073361,752118.3352073361
10-24,1030556,995967,985410,1206527,2678247,1828137.097722002,1828137.097722002
10-25,1030556,1220440,985410,1001102,1764542,1409567.320698252,1409567.320698252
10-26,630233,24000,2728328,1607445,1198180,980114.0562458554,980114.0562458554
10-27,1489303,984841,1390039,1432875,1198180,1031271.6247694374,1031271.6247694374
10-28,1030556,1331615,985410,28320,49881,439991.86185294105,439991.86185294105
10-29,2345779,1242249,40033,1001102,1048859,1176654.276643076,1176654.276643076
10-30,1590006,69450,985410,496914,2158821,1907053.1432494784,1907053.1432494784
10-31,1030556,995967,167759,2622446,1198180,1309509.4101284535,1309509.4101284537
11-01,1030556,1317508,985410,1163870,2776196,1914136.6114198212,1914136.6114198214
11-02,1030556,911443,1779630,555545,1068819,1221828.9998877284,1221828.9998877284
11-03,597719,1549416,110237,1001102,1198180,1312020.565136108,1312020.565136108
11-04,1030556,995967,985410,1001102,549580,1013875.5870960114,1013875.5870960114
11-05,685638,995967,856184,2894443,515414,584638.8640005512,584638.8640005512
11-06,1084752,1895321,289131,749747,749205,1062543.2798771344,1062543.2798771344
11-07,476374,249075,301669,1140349,1198180,1220936.5642107902,1220936.5642107902
11-08,53000,24000,1826925,215714,1877499,1955051.302376561,1955051.302376561
11-09,1823828,313454,985410,548946,631011,898172.7494030931,898172.7494030931
11-10,776127,798181,985410,738000,735571,838851.3095926694,838851.3095926694
11-11,669810,1769135,1303282,1001102,127226,824680.0607579098,824680.0607579098
11-12,45000,65554,345699,999768,263172,513896.65161512495,513896.65161512495
11-13,1030556,1443565,1195712,392751,1321624,1363853.600578401,1363853.600578401
11-14,1030556,31000,136145,400150,186143,441881.1032265819,441881.1032265819
11-15,76884,1911086,1246453,1599285,3334970,2657607.882871182,2657607.882871182
11-16,1488036,249889,1338890,1885526,1722214,1607112.5117275305,1607112.5117275305
11-17,788942,709253,178053,494876,1198180,1136689.3155852626,1136689.3155852626
11-18,1030556,1860922,985410,1001102,55000,776767.7861941577,776767.7861941577
11-19,1894887,1084605,353904,36316,766455,681493.562476174,681493.562476174
11-20,979633,196508,985410,1001102,977132,1280988.7850979336,1280988.7850979336
11-21,409356,995967,223948,2423678,1451698,1167257.4710986705,1167257.4710986703
11-22,1030556,926905,1492144,1415482,63754,588178.2145905708,588178.2145905708
11-23,982438,995967,740304,1507256,2415260,1811601.929865594,1811601.929865594
11-24,673080,1367013,985410,1616300,1198180,1109013.671120362,1109013.671120362
11-25,1030556,761752,410993,1001102,57765,777421.7958440727,777421.7958440727
11-26,1412139,1072610,1403657,1001102,216931,598127.7841083284,598127.7841083284
11-27,1894303,402778,985410,1001102,541469,754013.2805768179,754013.2805768179
11-28,1030556,119302,19200,414573,929854,1007498.8685506008,1007498.8685506007
11-29,232468,1375245,1182522,1791887,3127228,2638084.0304414257,2638084.0304414257
11-30,2113886,15000,1645897,2049082,1025531,1001325.7961677894,1001325.7961677894
12-01,1843619,995967,139500,1001102,55305,568978.7025625544,568978.7025625544
12-02,809940,9000,1553751,110608,643685,1232659.7755955504,1232659.7755955504
12-03,694473,2017247,382568,2581756,414578,611506.913887635,611506.913887635
12-04,467960,1795842,985410,1530076,1140472,999103.6961913316,999103.6961913316
12-05,1182186,409224,1842527,77185,1573210,1466330.13682433,1466330.13682433
12-06,1551718,186283,985410,193758,2006936,1989330.321514978,1989330.321514978
12-07,1030556,588744,1147598,1001102,1092071,1236430.363140609,1236430.363140609
