Month_Day,2018,2019,2020,2021,2022,2023,2024
08-11,1030556,1360447,2079704,154181,1589140,1496749.739803824,1402351.8256781546
08-12,1030556,918005,149043,1001102,130337,1229214.7541560717,1070249.1665193008
08-13,250651,995967,1686456,1001102,1198180,1175244.060130395,1235147.065078592
08-14,2809531,1562233,985410,374371,1397685,1289140.8011430905,1246610.3624466823
08-15,182762,995967,81425,2250345,109140,533943.9850189337,613297.4395998287
08-16,1030556,2008845,1563185,254785,1000240,1242374.6963561962,1146830.6574494345
08-17,1490020,995967,985410,542978,2591653,1310891.9957278192,1590180.6244214957
08-18,1030556,167724,309225,1232847,1198180,1326207.2327534498,1279374.0225838155
08-19,545365,738924,985410,1767985,535954,1027451.5632503312,935552.6480373796
08-20,229054,2152931,985410,263587,245116,770447.4296909854,814640.9254090424
08-21,144986,109699,2005251,1421332,1198180,1377806.2584190385,1367187.2871374371
08-22,105200,870185,1423800,922886,2347883,1753573.5720380768,1642932.499943101
08-23,11532,2581136,445413,1001102,934059,1073084.5325694252,1087293.9704949434
08-24,1030556,995967,693932,323155,1767938,1428302.8727511782,1362558.598959799
08-25,836328,266229,985410,799402,692267,1076991.174095603,1026205.8673457463
08-26,78000,90277,789389,323623,1198180,961065.0494205976,1026071.9687324706
08-27,983630,995967,46182,1001102,221047,894170.0470857196,852002.8180079566
08-28,787922,2088198,1517943,184925,1639211,1264674.9014247356,1266611.626039147
08-29,113473,1371241,985410,1687704,1198180,1403255.3001086835,1327772.9120063146
08-30,1030556,1721775,274471,1001102,4243153,2404999.212146433,2401012.871868368
08-31,1581838,813114,2050034,1280352,1198180,1301517.3467599312,1294475.4055780247
09-01,835290,995967,985410,1001102,1198180,1167857.0347143589,1206190.3274438335
09-02,1452479,995967,985410,1001102,1198180,1375058.009775489,1215771.7539987783
09-03,1127602,158098,708148,1222897,1982907,1662730.6092594196,1666564.5105768375
09-04,277265,2602408,985410,801358,1132502,1178358.4998127185,1244189.1762474596
09-05,283414,255446,972796,102292,2267886,1807269.301923581,1765537.3403752774
09-06,1353565,995967,1954325,2300934,70083,592404.4799187358,624950.9746726741
09-07,840629,1857767,2006033,2031956,1694375,1271156.7008171044,1331485.321575379
09-08,108200,995967,985410,1001102,1198180,1344839.845088242,1310049.38555953
09-09,400244,1233784,286188,925660,1198180,1170881.367376323,1179343.7311875564
09-10,1917313,90000,985410,926953,678486,933851.914022086,852445.571700657
09-11,1617895,995967,77024,2768970,535008,629351.5702354021,611680.1764848542
09-12,654462,997333,1435168,367064,1145079,1043244.62494406,1095481.869358095
09-13,15000,995967,2126695,1262482,556929,732304.6099609958,755170.1465957683
09-14,1007291,1334077,324009,1850005,1198180,1321319.126924969,1286537.3852863235
09-15,572486,701882,2621862,1389161,1198180,1109647.237731032,1173426.6267302278
09-16,505107,924059,985410,414255,1198180,1023633.4418385508,1124384.4660280275
09-17,1545056,513579,985410,1001102,1697516,1557957.2402985124,1458256.0706788255
09-18,1697822,129518,441025,1001102,1198180,1081838.8901225475,1159483.7941629037
09-19,563507,908119,985410,825057,1759496,1036705.0870946668,1213762.2086056229
09-20,1030556,384294,985410,1243506,1562431,1211341.7854716328,1253903.2454677792
09-21,477958,979495,1321452,2961713,938942,896117.3689691585,885492.3384841785
09-22,316352,709874,2122983,621987,1198180,1271851.8479941252,1217088.4480624855
09-23,1030556,853624,414340,1001102,1198180,1246697.4648409751,1265681.166579727
09-24,870680,1282206,92743,347056,1502601,1248907.540483277,1232565.7261288224
09-25,3198049,61920,1417076,611149,496917,662874.5315223995,690994.9973630912
09-26,1030556,995967,985410,1853309,1198180,1261492.1668173927,1223162.980616057
09-27,1030556,1877253,145319,1001102,2449697,1752687.9474903354,1725860.2390373037
09-28,936500,111977,345467,1336377,1198180,1360924.6800630186,1275315.2591565722
09-29,2420666,690574,1895615,2205453,1372961,1359479.0290972309,1323442.8474678476
09-30,38000,1077076,25002,1001102,1198180,1041385.6929202336,1043965.5128329184
10-01,1378525,995967,462707,1001102,2576140,1625875.408002715,1725246.7580325454
10-02,1030556,995967,618867,2051000,1177883,1254661.0327522568,1213886.93453713
10-03,448986,32531,2932800,396127,1198180,1131103.2716344716,1106881.2878091896
10-04,2719554,500886,397539,1001102,1347521,1333415.2415942624,1336048.7979667636
10-05,1030556,1727793,266169,1001102,887222,1431061.370323286,1236579.62037139
10-06,1030556,534194,219160,140492,1198180,1276938.107540036,1272204.0829343747
10-07,1799338,336087,985410,1113275,253239,708954.5603902658,743277.081853249
10-08,92929,577380,496805,2554997,399892,721553.5937146691,755402.4127655325
10-09,754418,995967,985410,1001102,1301113,1163401.0705354298,1263856.9800228234
10-10,406531,995967,1655854,1001102,1040320,1065853.902260668,1088364.3955013386
10-11,1030556,995967,502113,1901362,3164532,1934072.753491848,2008915.896590212
10-12,1545985,1263175,390885,187610,1198180,1291307.932401306,1294472.7259530362
10-13,1030556,900885,638239,190401,1198180,1282977.3575892048,1268212.1233327794
10-14,959612,2801771,1334916,1294739,1198180,1209509.378307814,1257146.1540559325
10-15,1030556,995967,30000,1001102,1198180,1116693.835575766,1191769.3144071065
10-16,2902543,995967,1465541,117895,1720179,1603297.1886732746,1578073.1933271897
10-17,1030556,995967,985410,1685168,789497,1141883.3422617232,1016902.0886865716
10-18,372810,1764841,89608,964895,1352002,1403979.8368310065,1325867.5980403766
10-19,467978,995967,1856334,1270703,1968600,1697872.4368148851,1622831.908917388
10-20,1030556,337365,985410,1001102,1198180,1202359.9789950224,1210659.235132654
10-21,727386,1232607,1384924,1520478,472053,882000.476207686,875940.253796973
10-22,1231810,1442428,985410,109161,323999,744311.8672502233,763812.4254715007
10-23,1882107,154999,81766,702053,692504,784038.9241456339,819825.2440622256
10-24,1030556,995967,985410,1206527,2678247,1623146.1480118146,1671305.000170475
10-25,1030556,1220440,985410,1001102,1764542,1238651.7776955045,1315083.190949998
10-26,630233,24000,2728328,1607445,1198180,1129352.051277022,1150986.1151042765
10-27,1489303,984841,1390039,1432875,1198180,1141916.1523355064,1186193.8398489128
10-28,1030556,1331615,985410,28320,49881,489531.0089949113,511163.56179878017
10-29,2345779,1242249,40033,1001102,1048859,1047097.5956348984,1032684.5739216388
10-30,1590006,69450,985410,496914,2158821,1855565.2074799212,1745335.9707661264
10-31,1030556,995967,167759,2622446,1198180,1095885.7208010985,1158610.7386540151
11-01,1030556,1317508,985410,1163870,2776196,1618329.9953100989,1675669.7604648476
11-02,1030556,911443,1779630,555545,1068819,1074325.6855137844,1073867.6611286125
11-03,597719,1549416,110237,1001102,1198180,1342680.910699703,1237608.8376856593
11-04,1030556,995967,985410,1001102,549580,1218438.955892446,1027678.4867853192
11-05,685638,995967,856184,2894443,515414,650179.5979680311,654248.9088367467
11-06,1084752,1895321,289131,749747,749205,925538.4920367694,1003547.2309439396
11-07,476374,249075,301669,1140349,1198180,1368815.555928491,1278311.2955139393
11-08,53000,24000,1826925,215714,1877499,1939763.2249726437,1946677.6130188338
11-09,1823828,313454,985410,548946,631011,949854.1743004072,881441.7964528677
11-10,776127,798181,985410,738000,735571,1021927.9652542714,992437.6218192464
