Month_Day,2018,2019,2020,2021,2022,2023
11-27,1894303,402778,985410,1001102,541469,879017.3556003766
11-28,1030556,119302,19200,414573,929854,1092740.4502299235
11-29,232468,1375245,1182522,1791887,3127228,2358297.1203375636
11-30,2113886,15000,1645897,2049082,1025531,1019579.275895495
12-01,1843619,995967,139500,1001102,55305,1014223.4356093241
12-02,809940,9000,1553751,110608,643685,852103.4594999449
12-03,694473,2017247,382568,2581756,414578,829386.7064964477
12-04,467960,1795842,985410,1530076,1140472,1121824.719219608
12-05,1182186,409224,1842527,77185,1573210,1519719.1327488387
12-06,1551718,186283,985410,193758,2006936,1744338.237043665
12-07,1030556,588744,1147598,1001102,1092071,1097473.1720274407
12-08,2085781,899322,257842,451476,1198180,1128301.6722843016
12-09,16914,728628,39000,1001102,109718,225370.08578453364
12-10,2070899,995967,406871,4125467,658817,684126.946352271
12-11,1940027,882100,859360,142092,917003,1015612.5920245996
12-12,227062,109222,1728747,1942264,299712,779976.9168840464
12-13,1577389,976204,985410,542694,1198180,1264113.3865061137
12-14,1658727,995967,232187,3466336,383748,498612.91191295953
12-15,1030556,170426,244856,887390,3488779,2105319.9982576026
12-16,1030556,3601666,967871,1001102,54200,232915.95011661015
12-17,1530251,995967,751870,1001102,1157229,1207018.189944401
12-18,1765062,285767,985410,1001102,410130,959904.5130213863
12-19,174369,995967,2185577,617646,1363541,1394855.1062801336
12-20,1030556,666645,179996,149415,1198180,1276938.107540036
12-21,1241728,511703,391474,1957493,2467849,2175184.5335438526
12-22,594721,995967,248608,1574834,1198180,1267295.1710691836
12-23,1030556,1871252,1462512,1001102,82256,803085.6024416207
12-24,3122642,117747,606878,1224472,1198180,1239945.651361031
12-25,103044,253650,959254,1004549,1086993,1488932.3189277935
12-26,1030556,2004698,1433966,1001102,1408096,1150287.4760930892
12-27,125924,643626,985410,2648166,1669346,1451603.0925464532
12-28,2477337,995967,3430383,1001102,1113987,985971.1580689717
12-29,1030556,392141,985410,966369,278274,1123267.390099196
12-30,1030556,1054901,134188,178873,416466,830276.8146310153
12-31,903441,1088381,985410,1001102,1218553,1246642.6527957919
