Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023
13-Sep,37474541,4219824,0,7495000,0,23833131,0,2185993,1389866
14-Sep,0,20321563,8744842,20052,9037399,7366888,7472209,5226090,0
15-Sep,18185010,5047066,0,5173234,8229242,0,0,0,14829921
16-Sep,780977,83700,1267642,2578430,5452087,0,710129,5773770,8201994
17-Sep,5848251,361943,6835141,10272056,2900,7377900,9019900,14099755,0
18-Sep,3848089,0,3102602,0,3445402,10116472,0,14501000,3229607
19-Sep,13455764,4071086,20721811,21883464,23914650,0,3206708,5055215,8368315
20-Sep,0,7769384,0,0,12014078,9567827,46386461,10213103,8664443
21-Sep,0,7377954,9305279,3056168,0,2381939,6041599,4767020,41900000
22-Sep,12476042,7444254,47254,15734840,7980498,32069682,2922483,0,0
23-Sep,2798459,2287803,7042800,0,10683000,4809306,236238,0,7164653
24-Sep,2967738,0,9977960,0,13475809,241064,0,6289767,5336755
25-Sep,3925493,2257804,0,22183862,4947155,3930803,7390665,3673561,0
26-Sep,1999000,7132539,0,13602822,32500000,0,2025698,0,0
27-Sep,0,6669212,8383559,7203770,6858140,0,44551000,8805992,4910977
28-Sep,2387787,2435446,12797524,2524588,3832951,10491115,10751882,0,0
29-Sep,36185160,6991916,167876,1143869,324156,15101054,0,3308234,16455647
30-Sep,3363677,32984806,8000673,0,7149438,30816008,971897,0,7838118
01-Oct,4847875,0,0,12039549,7540386,0,4505465,11169720,23515791
02-Oct,6064843,0,14054931,5345615,9612559,150514,2558108,3705553,1642537
03-Oct,0,14814527,5946877,0,13664840,13213360,0,10935600,0
04-Oct,9021380,3787505,129181,4529131,4500900,0,6041228,9554871,0
05-Oct,2520116,2173490,150401,2314998,0,5749440,7097826,735516,6573029
06-Oct,11038671,3763209,9578666,11375640,22768,23155378,43101569,8386680,12134811
07-Oct,10502947,2097472,236718,7874100,4562717,17718116,0,9420657,310247
08-Oct,20985080,8752701,7318684,847018,17680245,9753863,2526461,0,26448
09-Oct,8717050,802068,22072766,12053369,4731377,56205,1712520,5209030,2701871
10-Oct,607006,21954831,8405775,15571357,0,24319354,10276619,2412327,4026716
11-Oct,49510378,7360722,19422806,0,8001000,0,2219053,6263797,4476984
12-Oct,6655091,2713848,1200872,2428682,13022000,6993630,6948647,0,2724800
13-Oct,13619665,18162614,3433181,29210,5433304,6194890,3585988,0,10591513
14-Oct,4584801,6125940,32525,317996,11667455,7905901,8416525,1655840,20352679
15-Oct,5161468,22131332,49235418,4630998,0,8057009,0,0,2813
16-Oct,4748362,0,1166536,20515716,6210283,24989000,4707583,6425046,2955379
17-Oct,20980530,8329199,15764683,8443089,0,460808,5550411,12049023,7110085
18-Oct,0,4528408,1947152,0,3508707,3933777,7820510,23050598,16017009
19-Oct,0,0,0,1857947,0,9151225,5209676,8197538,588920
20-Oct,19220925,8296115,17312163,41130000,764010,0,12096898,0,11882075
21-Oct,4639062,2412088,4042706,0,9471419,6665969,0,4485302,10068806
22-Oct,3180007,9047829,0,9140810,16758676,0,6622,5073551,0
23-Oct,11796784,0,4057446,7301000,7388662,255840,8288296,1569622,2092876
