Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
08-Apr,0,7558075,0,2174827,6197676,15197123,90954,24611997,10019857,89970.07339822594,6197429.195484434,24610930.53319018,15196631.817321848,24609751.853337668
09-Apr,2684223,4310771,3839870,3981984,13631216,0,7092592,9856182,3848620,7093510.204600134,13631006.353679463,9857354.10610072,0.0,9856661.25116975
10-Apr,9837553,0,3222667,21130363,12362749,5797413,0,12070252,22986936,473.32217010483146,12362561.667286212,12070018.82504184,5797096.079308946,12069527.88122455
11-Apr,3772721,0,12905610,0,0,0,0,0,5425095,959.4902787338942,532.7979477159679,0.0,1237.960457747802,631.6012170743197
12-Apr,40665,14796660,244591,446520,1534845,0,14856557,9527536,0,14857804.33444027,1534252.7137955977,9527755.555530503,2125.133134312928,9528410.258594984
13-Apr,0,3893012,5899287,1128240,0,0,9374434,6030460,0,9373005.130820269,490.845272442326,6030535.2610639455,0.0,6028831.402912038
14-Apr,11800818,6601210,1562839,1144754,14454598,19177718,11537130,2808995,9016423,11538074.684067938,14455778.546767838,2810502.538527179,19179775.570025183,2812181.4008698575
15-Apr,3833314,2143780,10340,12376860,13111348,8514827,1364828,0,6947340,1367140.5043872492,13111862.658779996,404.0759542975575,8514283.717939321,83.90889885369688
16-Apr,4080285,7059950,7509354,11100834,10873680,8526188,4428302,3792692,10734891,4426790.151640432,10870472.114809968,3795090.1880921335,8529620.22385434,3792782.984875357
17-Apr,3964133,0,8024630,8400451,2768885,0,0,0,7387005,0.0,2769386.4338848013,204.28487148042768,0.0,531.7599706798792
18-Apr,3999263,6969255,7054838,1176575,6250810,270090,37991,915027,10404324,39009.674384798855,6251726.834656891,912990.1003138536,270644.8824855853,909037.7052440038
19-Apr,0,3857661,2102867,452266,17568872,0,9056320,15475606,0,9056955.739700912,17568216.17153097,15474940.811698254,372.40495425928384,15476335.720984763
20-Apr,0,6022618,7133422,1561,10867845,9975267,9610839,7590746,15278720,9612671.060181124,10867521.850179644,7590245.045854744,9973991.71951931,7591467.205876269
21-Apr,6198955,3970976,6734510,0,202952,2954908,13365861,6477836,5163834,13368695.739125598,202673.869291964,6478606.16756966,2953689.276576774,6477708.617216373
22-Apr,6893904,2682217,541240,16892031,6995830,4753108,9988358,0,4541272,9987594.469700508,6996265.000810014,141.86725893430412,4752588.070100347,86.2263960186392
23-Apr,18570416,5654586,0,3140927,14555521,0,98720,0,0,98928.95383734256,14555922.676436922,0.0,1517.423076054081,473.28421799093485
24-Apr,11501394,0,585400,8422211,7776422,0,867157,924858,16404708,866618.3615418272,7777669.523818178,923701.9163372582,701.3955802330747,922796.8279005252
25-Apr,1860,25000000,9100113,0,6043279,0,0,7423934,12599960,174.3306913608685,6043193.8641786175,7425184.264007336,628.6592639898881,7424874.566969395
26-Apr,10751870,18619421,0,0,16055969,24412342,2009226,8862782,0,2007707.199530418,16056258.11413397,8862197.39907308,24411331.187494297,8862940.273796812
27-Apr,141987,3990259,6110488,19285698,0,2278409,8521784,0,8955000,8523042.474117525,0.0,0.0,2279768.767213016,0.0
