Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
14-Jun,39835816,18943614,477582,0,12494691,12000000,3030995,7092354,134553,12494691.00000002,39835815.99999999,134552.99999998984,477582.0000000063,134553.00000002363
15-Jun,0,3323966,3489711,0,30094980,7986203,7980367,6267605,4172609,30094980.0,0.0,4172608.999999989,3489711.0000000107,4172609.000000044
16-Jun,8529178,0,1572724,737893,16055700,0,142315,221292,6749370,16055699.999999993,8529177.999999996,6749369.9999999935,1572724.0000000077,6749370.000000017
17-Jun,2977007,4322187,8985419,0,5602230,283510,8718225,1792082,0,5602229.999999993,2977006.9999999977,0.0,8985418.999999998,0.0
18-Jun,1882639,11557305,8278180,1385965,13865039,882800,0,7346215,48813363,13865038.999999993,1882639.000000016,48813363.0,8278180.000000013,48813362.999999985
19-Jun,14841647,15366,1227450,15358334,16607017,0,11767056,0,890493,16607017.0,14841646.999999996,890493.0000000001,1227449.9999999995,890493.000000049
20-Jun,697049,19526204,2252749,14273456,3031498,6283050,11494277,2520531,9818706,3031498.0000000005,697049.0000000024,9818706.000000004,2252748.9999999944,9818705.999999981
21-Jun,0,10099444,7591851,7876000,1589217,14903190,4042780,3881650,3947611,1589216.9999999993,1.116320595040323e-09,3947611.000000004,7591850.999999996,3947610.999999982
22-Jun,0,6980196,8775432,0,0,7741857,9410220,794247,11945650,0.0,1.431284428901243e-09,11945650.000000004,8775431.999999996,11945649.999999963
23-Jun,8733473,327950,1803836,283987,55938,12651682,1190005,8039674,0,55937.99999999705,8733472.999999996,0.0,1803835.9999999984,0.0
24-Jun,1515569,0,10068339,1160899,4720263,0,15385434,14720164,28582104,4720262.999999987,1515569.0000000107,28582104.0,10068339.0,28582103.99999997
25-Jun,23838954,8350291,0,14365505,15000559,21722740,2019125,8189799,1349910,15000559.000000017,23838954.0,1349909.9999999986,4.7584762796759605e-09,1349910.0000000414
26-Jun,13696987,7323201,11616613,16396190,7108581,6295290,5420431,2369523,6657683,7108581.000000004,13696987.0,6657683.000000006,11616612.999999996,6657683.000000032
27-Jun,12981174,4724137,1295224,0,0,12229674,0,0,9881215,0.0,12981174.0,9881215.0,1295224.0000000014,9881214.999999966
28-Jun,5306348,6411233,3007367,3046047,12155807,0,0,354900,1680074,12155806.999999996,5306347.999999998,1680073.999999995,3007367.000000004,1680074.0000000095
29-Jun,0,0,6373411,0,0,10218865,5809199,0,0,0.0,0.0,2.705428975644913e-09,6373410.999999996,0.0
