Sail Date.,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
16-May,3277649,0,0,5522686,124917,511338,9550660,9964132,5444071,1183064.5543082736,1187168.4565678176,10267781.801768675,5448993.219942717,9435861.20099538
17-May,48368743,30675001,191968,0,1426470,0,28796966,1420841,5268740,0.0,0.0,2142878.813358394,5604007.025226367,32831820.578859117
18-May,0,1051801,7725644,1687141,7900,1223076,6750458,0,3451168,1218414.5167359423,1260838.3184228763,22324.16448812076,3382907.847647514,6813830.848609647
19-May,10535966,1529763,9080367,1963591,0,10201664,0,0,9863718,10124550.396656664,10124683.673548687,10221.851079566975,10395019.850687848,13028.724558649013
20-May,5533506,3322265,0,345946,7345450,0,4111727,6913206,4973246,43988.72230954388,47222.81631168316,6832662.781786379,4960576.396825959,4370827.114864728
21-May,3997530,3437896,0,8729764,15520626,0,9785326,4224518,278021,0.0,10773.658809015193,4126908.221921,223252.73044074207,9753279.676210683
22-May,9642828,6361492,3105731,8331188,12089845,3154191,8998730,9311066,3599403,3186453.4903903725,3191988.040220465,9251772.441469176,3645230.899529884,9104525.487961594
23-May,0,0,11168358,0,271430,10500160,0,6578720,15084154,10394781.51438433,10477743.28185727,6842571.936618181,15316327.772098783,57875.45658445035
24-May,0,10421961,1614018,43650000,7208427,0,10396496,38502,6269808,23570.81777856696,9775.436709719545,28667.231217828903,6155936.073702069,9946187.815109607
25-May,4294628,11389176,11948175,0,0,6305244,6580190,45605697,5500000,6288365.564923875,6291723.633604071,32156975.34224831,5324540.21725853,6199739.642743311
26-May,14940363,4612617,8687210,1115964,0,33748327,129128,4259317,27590536,33699750.59586642,32563180.55993516,4312676.06188698,26265038.32316078,174838.97873860845
27-May,9577664,6782197,2407591,445570,13728214,4753740,0,10912212,0,4632796.283047903,4632409.1755324425,10945185.68271198,77603.00620406316,48061.23886415623
28-May,8819290,9151825,30500512,1108214,9043688,490471,18001733,6293037,1308446,631618.2942231644,639518.0992501872,6383049.143035903,1296508.0997631403,19880355.76623861
29-May,8728816,0,0,12966417,7941210,11992880,6481268,5298106,4473577,12147253.85191472,12275038.365068069,5323052.794285077,4279540.378213037,6502999.143334314
30-May,7783716,2688470,7964971,16432829,0,0,9298616,10717883,22413910,542540.1484528804,688453.4485002109,10506238.73638844,26058969.629836284,9278193.788750304
31-May,2898061,28399379,0,0,2835081,19015580,0,5575095,2930696,19226719.2623231,18782466.82378733,5487184.774574155,3312970.914503619,0.0
01-Jun,198000,16078479,0,118046,0,95224,450568,0,0,0.0,0.0,284947.9465714929,0.0,402552.11102001683
02-Jun,11096584,10641236,10747090,2981456,0,6823240,5333183,0,4188255,6778431.663312344,6771088.39485358,251781.9046449868,4214508.969531842,5354542.54693217
03-Jun,7309807,6672226,2603569,23020280,16436425,0,7035424,0,6687679,0.0,204.8006135765147,414193.5023703153,6438036.880679124,7172029.146597698
04-Jun,2110445,192784,802424,19916162,9298682,0,15740800,9308993,6007061,79104.17661113487,84470.1313928648,9486771.324399885,5956620.213049231,17718767.43514551
05-Jun,18020443,0,23314545,0,12475071,4074687,5528500,12402007,13391453,4190672.782345276,4169573.166173867,12641396.103282606,12607166.354120111,5446240.5642942665
06-Jun,0,6152643,6918554,4216706,10713186,111600,47168373,1457137,0,56482.52170501815,41866.95588312592,1447041.6930105854,0.0,36705184.64010339
07-Jun,0,25690555,9464676,9379587,4297477,0,9971550,0,1402243,0.0,0.0,384310.5393473054,1574117.838651735,9406355.053529749
08-Jun,553118,2429170,1574903,300061,157640,3426293,13659587,17628078,4137234,3360225.476921173,3371011.697831652,22586249.873956528,4052448.69708786,13745024.11208515
09-Jun,14245835,4982262,13434213,52325570,0,19388177,6255835,0,0,20011353.862601496,19965567.322855342,57921.04923963042,29889.67764639996,6083617.165366686
10-Jun,13426069,192784,0,0,22968645,826650,1005081,10806497,7236289,853294.4727305295,885515.2283215259,11114917.76004426,7329061.978882632,774579.500712488
11-Jun,7406260,9763568,323296,2909269,0,6478288,6928590,2657799,13121432,6556115.553640611,6531638.999103396,2904189.3626358667,13289909.147034973,7035796.04792217
12-Jun,5602509,3595721,6639675,8533102,15131602,0,4123226,9102690,9253810,0.0,6272.641877234918,9636668.413928416,9358227.10456081,4025711.7019843687
13-Jun,35669453,0,7294299,912257,0,3723557,0,7179420,7399379,3889489.624441551,3872297.8162412434,6950608.518634721,7324159.351447713,291948.2314983962
14-Jun,39835816,18943614,477582,0,12494691,12000000,3030995,7092354,134553,12221608.51420724,12420290.410665214,7013978.32174143,0.0,3000531.614798092
15-Jun,0,3323966,3489711,0,30094980,7986203,7980367,6267605,4172609,8106729.868283123,8179897.639961681,6669109.841021422,4067440.138576034,7913105.205268013
16-Jun,8529178,0,1572724,737893,16055700,0,142315,221292,6749370,0.0,5382.752144048623,392429.1001316108,7124139.652752203,162951.5483536138
17-Jun,2977007,4322187,8985419,0,5602230,283510,8718225,1792082,0,94456.836999551,81021.07694543604,1869498.0383742768,0.0,8840406.930015367
18-Jun,1882639,11557305,8278180,1385965,13865039,882800,0,7346215,48813363,1445769.1029532752,1559445.2371218156,7406420.8739095805,34745620.05127349,188368.00324498577
19-Jun,14841647,15366,1227450,15358334,16607017,0,11767056,0,890493,288106.2053593557,289776.67951454106,45230.86288240968,804852.0770041754,10054499.541247364
20-Jun,697049,19526204,2252749,14273456,3031498,6283050,11494277,2520531,9818706,6266569.045821524,6240109.952889147,2593211.770188579,9550622.836370831,11015288.959175862
21-Jun,0,10099444,7591851,7876000,1589217,14903190,4042780,3881650,3947611,14706008.683818726,14453929.45726402,4203663.738906696,4212031.685579984,4105058.8098800723
22-Jun,0,6980196,8775432,0,0,7741857,9410220,794247,11945650,7703038.010659842,7731488.41310609,767984.1760136135,12785639.116111008,9497139.204275616
23-Jun,8733473,327950,1803836,283987,55938,12651682,1190005,8039674,0,12623432.165322611,12753217.255825056,8006104.817534653,0.0,1122598.7699571177
24-Jun,1515569,0,10068339,1160899,4720263,0,15385434,14720164,28582104,892712.3863275392,1069895.390201539,14208335.866644232,27320617.59594125,15502923.364137618
25-Jun,23838954,8350291,0,14365505,15000559,21722740,2019125,8189799,1349910,19244249.18574976,18855795.110499065,7849721.273821219,1354932.6918851256,1788809.542813257
26-Jun,13696987,7323201,11616613,16396190,7108581,6295290,5420431,2369523,6657683,6500679.8112827735,6481758.620343898,2384695.9339490123,6528798.513457463,5533052.842919724
27-Jun,12981174,4724137,1295224,0,0,12229674,0,0,9881215,12265792.975654265,12321721.43659991,0.0,10322135.690280229,114737.76031355167
28-Jun,5306348,6411233,3007367,3046047,12155807,0,0,354900,1680074,0.0,0.0,573585.739598045,1639270.5658613837,0.0
29-Jun,0,0,6373411,0,0,10218865,5809199,0,0,10350420.337541128,10334433.789451571,98099.1772859374,4842.622185867657,5382955.616882414
30-Jun,10940971,8560593,10957023,4526775,3579028,8214750,5193269,6234611,8412986,8268132.668478273,8316643.818050314,6016234.73609264,8629087.258996494,5086890.338054359
01-Jul,4116911,11452551,236911,0,0,6921794,16664381,9780919,5803691,6875501.341852913,6863902.235892098,10400852.841514556,5780135.7938437145,18406750.723829567
02-Jul,7280735,99594,5316480,6070490,7509145,10580540,5691543,3446428,10856972,10714233.323045218,10817918.411163164,3429019.0016161,10735595.925653582,5594278.426389809
